,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,ubo50,1,0,"[0, 2, 1, 3, 6, 2, 3, 4, 3, 2, 2, 7, 3, 7, 5, 1, 3, 11, 5, 8, 8, 1, 6, 8, 2, 4, 2, 6, 5, 5, 1, 6, 4, 2, 1, 4, 2, 1, 7, 2, 2, 1, 5, 3, 4, 6, 1, 2, 6, 4, 7, 0]",10,0.02,Infeasible,,
1,ubo50,1,1,"[0, 2, 1, 3, 6, 1, 5, 8, 2, 3, 2, 4, 3, 6, 7, 2, 3, 8, 4, 4, 6, 2, 8, 7, 2, 3, 5, 5, 4, 7, 1, 6, 6, 1, 1, 3, 1, 2, 4, 2, 5, 1, 2, 2, 7, 11, 1, 1, 7, 6, 11, 0]",10,0.0,Infeasible,,
2,ubo50,1,2,"[0, 2, 2, 3, 8, 1, 6, 8, 6, 5, 2, 7, 2, 6, 7, 3, 1, 11, 5, 8, 6, 2, 5, 4, 1, 6, 2, 5, 8, 6, 1, 9, 4, 1, 1, 6, 2, 1, 7, 1, 4, 3, 2, 2, 5, 8, 2, 2, 3, 4, 8, 0]",10,0.0,Infeasible,,
3,ubo50,1,3,"[0, 1, 3, 3, 6, 3, 4, 8, 4, 2, 2, 3, 2, 11, 3, 2, 2, 7, 7, 8, 8, 1, 4, 7, 2, 2, 5, 6, 6, 9, 2, 5, 3, 2, 2, 4, 2, 2, 3, 3, 2, 1, 4, 2, 6, 10, 1, 1, 3, 6, 9, 0]",10,0.00999999,Infeasible,,
4,ubo50,1,4,"[0, 2, 2, 4, 7, 1, 6, 4, 2, 3, 1, 5, 1, 12, 5, 1, 2, 9, 3, 4, 9, 2, 6, 5, 1, 6, 5, 5, 5, 7, 1, 9, 6, 3, 2, 6, 3, 2, 6, 2, 6, 3, 6, 1, 3, 9, 2, 1, 6, 4, 6, 0]",10,0.0,Infeasible,,
5,ubo50,1,5,"[0, 1, 3, 5, 5, 3, 4, 8, 2, 2, 1, 4, 2, 10, 4, 3, 2, 12, 4, 4, 5, 1, 8, 5, 1, 2, 4, 5, 7, 6, 1, 9, 6, 3, 2, 7, 3, 2, 7, 1, 2, 1, 6, 3, 4, 11, 1, 2, 5, 5, 11, 0]",10,0.00999999,Infeasible,,
6,ubo50,1,6,"[0, 1, 2, 6, 9, 1, 3, 7, 4, 2, 2, 6, 1, 8, 6, 1, 2, 11, 5, 5, 8, 1, 4, 5, 1, 3, 5, 8, 5, 7, 2, 5, 5, 1, 1, 3, 3, 1, 7, 3, 6, 3, 5, 1, 7, 8, 1, 1, 4, 5, 11, 0]",10,0.0,Infeasible,,
7,ubo50,1,7,"[0, 2, 2, 4, 5, 2, 7, 8, 4, 4, 2, 4, 1, 6, 3, 3, 3, 10, 4, 7, 6, 2, 6, 8, 2, 2, 5, 5, 8, 7, 2, 6, 4, 1, 1, 3, 3, 2, 6, 3, 2, 2, 2, 2, 5, 8, 1, 1, 6, 5, 8, 0]",10,0.00999999,Infeasible,,
8,ubo50,1,8,"[0, 1, 1, 5, 5, 1, 4, 4, 4, 5, 1, 3, 3, 10, 6, 1, 3, 9, 4, 6, 5, 1, 5, 8, 1, 5, 2, 9, 6, 6, 1, 5, 6, 2, 2, 5, 3, 1, 3, 1, 2, 3, 4, 1, 3, 10, 2, 1, 4, 5, 10, 0]",10,0.0,Infeasible,,
9,ubo50,1,9,"[0, 2, 2, 4, 6, 3, 7, 5, 2, 4, 2, 5, 2, 7, 5, 1, 1, 11, 6, 8, 6, 2, 4, 8, 1, 5, 4, 9, 7, 7, 1, 7, 7, 1, 1, 7, 3, 1, 7, 3, 5, 2, 2, 1, 7, 9, 1, 2, 6, 6, 10, 0]",10,0.0,Infeasible,,
