;instance;status;sample;rcpsp/max_feasible;makespan_pi;makespan_rte_star
0;j10/PSP1;feasible_and_dc;0;TRUE;33;33
1;j10/PSP2;infeasible;0;NotApplicable;;
2;j10/PSP3;feasible_but_not_dc;0;NotApplicable;;
3;j10/PSP4;feasible_but_not_dc;0;NotApplicable;;
4;j10/PSP5;feasible_but_not_dc;0;NotApplicable;;
5;j10/PSP6;infeasible;0;NotApplicable;;
6;j10/PSP7;feasible_but_not_dc;0;NotApplicable;;
7;j10/PSP8;feasible_but_not_dc;0;NotApplicable;;
8;j10/PSP9;feasible_and_dc;0;TRUE;60;60
9;j10/PSP10;feasible_and_dc;0;FALSE;;47
10;j10/PSP11;feasible_but_not_dc;0;NotApplicable;;
11;j10/PSP12;infeasible;0;NotApplicable;;
12;j10/PSP13;feasible_but_not_dc;0;NotApplicable;;
13;j10/PSP14;infeasible;0;NotApplicable;;
14;j10/PSP15;feasible_but_not_dc;0;NotApplicable;;
15;j10/PSP16;feasible_and_dc;0;TRUE;36;36
16;j10/PSP17;infeasible;0;NotApplicable;;
17;j10/PSP18;feasible_and_dc;0;TRUE;33;41
18;j10/PSP19;feasible_but_not_dc;0;NotApplicable;;
19;j10/PSP20;feasible_and_dc;0;TRUE;52;52
20;j10/PSP21;feasible_but_not_dc;0;NotApplicable;;
21;j10/PSP22;feasible_but_not_dc;0;NotApplicable;;
22;j10/PSP23;feasible_but_not_dc;0;NotApplicable;;
23;j10/PSP24;feasible_and_dc;0;TRUE;35;40
24;j10/PSP25;feasible_but_not_dc;0;NotApplicable;;
25;j10/PSP26;infeasible;0;NotApplicable;;
26;j10/PSP27;infeasible;0;NotApplicable;;
27;j10/PSP28;feasible_and_dc;0;TRUE;39;40
28;j10/PSP29;feasible_and_dc;0;TRUE;39;39
29;j10/PSP30;feasible_but_not_dc;0;NotApplicable;;
30;j10/PSP31;infeasible;0;NotApplicable;;
31;j10/PSP32;infeasible;0;NotApplicable;;
32;j10/PSP33;feasible_and_dc;0;TRUE;89;89
33;j10/PSP34;feasible_but_not_dc;0;NotApplicable;;
34;j10/PSP35;feasible_but_not_dc;0;NotApplicable;;
35;j10/PSP36;feasible_but_not_dc;0;NotApplicable;;
36;j10/PSP37;feasible_but_not_dc;0;NotApplicable;;
37;j10/PSP38;feasible_but_not_dc;0;NotApplicable;;
38;j10/PSP39;feasible_but_not_dc;0;NotApplicable;;
39;j10/PSP40;infeasible;0;NotApplicable;;
40;j10/PSP41;infeasible;0;NotApplicable;;
41;j10/PSP42;infeasible;0;NotApplicable;;
42;j10/PSP43;feasible_but_not_dc;0;NotApplicable;;
43;j10/PSP44;feasible_but_not_dc;0;NotApplicable;;
44;j10/PSP45;feasible_but_not_dc;0;NotApplicable;;
45;j10/PSP46;feasible_and_dc;0;TRUE;40;42
46;j10/PSP47;feasible_but_not_dc;0;NotApplicable;;
47;j10/PSP48;infeasible;0;NotApplicable;;
48;j10/PSP49;feasible_and_dc;0;TRUE;32;34
49;j10/PSP50;feasible_but_not_dc;0;NotApplicable;;
50;j10/PSP51;infeasible;0;NotApplicable;;
51;j10/PSP52;feasible_but_not_dc;0;NotApplicable;;
52;j10/PSP53;feasible_but_not_dc;0;NotApplicable;;
53;j10/PSP54;feasible_but_not_dc;0;NotApplicable;;
54;j10/PSP55;infeasible;0;NotApplicable;;
55;j10/PSP56;feasible_but_not_dc;0;NotApplicable;;
56;j10/PSP57;feasible_but_not_dc;0;NotApplicable;;
57;j10/PSP58;feasible_and_dc;0;TRUE;25;25
58;j10/PSP59;feasible_but_not_dc;0;NotApplicable;;
59;j10/PSP60;feasible_but_not_dc;0;NotApplicable;;
60;j10/PSP61;infeasible;0;NotApplicable;;
61;j10/PSP62;feasible_but_not_dc;0;NotApplicable;;
62;j10/PSP63;feasible_but_not_dc;0;NotApplicable;;
63;j10/PSP64;feasible_but_not_dc;0;NotApplicable;;
64;j10/PSP65;feasible_but_not_dc;0;NotApplicable;;
65;j10/PSP66;infeasible;0;NotApplicable;;
66;j10/PSP67;infeasible;0;NotApplicable;;
67;j10/PSP68;infeasible;0;NotApplicable;;
68;j10/PSP69;feasible_but_not_dc;0;NotApplicable;;
69;j10/PSP70;feasible_but_not_dc;0;NotApplicable;;
70;j10/PSP71;infeasible;0;NotApplicable;;
71;j10/PSP72;infeasible;0;NotApplicable;;
72;j10/PSP73;feasible_but_not_dc;0;NotApplicable;;
73;j10/PSP74;infeasible;0;NotApplicable;;
74;j10/PSP75;feasible_and_dc;0;TRUE;35;36
75;j10/PSP76;infeasible;0;NotApplicable;;
76;j10/PSP77;feasible_and_dc;0;TRUE;67;76
77;j10/PSP78;feasible_and_dc;0;TRUE;32;33
78;j10/PSP79;feasible_and_dc;0;TRUE;34;38
79;j10/PSP80;feasible_but_not_dc;0;NotApplicable;;
80;j10/PSP81;feasible_and_dc;0;TRUE;28;30
81;j10/PSP82;feasible_but_not_dc;0;NotApplicable;;
82;j10/PSP83;feasible_but_not_dc;0;NotApplicable;;
83;j10/PSP84;feasible_and_dc;0;TRUE;54;54
84;j10/PSP85;feasible_but_not_dc;0;NotApplicable;;
85;j10/PSP86;feasible_and_dc;0;TRUE;49;54
86;j10/PSP87;feasible_but_not_dc;0;NotApplicable;;
87;j10/PSP88;feasible_but_not_dc;0;NotApplicable;;
88;j10/PSP89;feasible_but_not_dc;0;NotApplicable;;
89;j10/PSP90;feasible_but_not_dc;0;NotApplicable;;
90;j10/PSP91;feasible_but_not_dc;0;NotApplicable;;
91;j10/PSP92;infeasible;0;NotApplicable;;
92;j10/PSP93;infeasible;0;NotApplicable;;
93;j10/PSP94;feasible_but_not_dc;0;NotApplicable;;
94;j10/PSP95;feasible_and_dc;0;TRUE;54;56
95;j10/PSP96;feasible_and_dc;0;TRUE;63;66
96;j10/PSP97;feasible_but_not_dc;0;NotApplicable;;
97;j10/PSP98;infeasible;0;NotApplicable;;
98;j10/PSP99;feasible_but_not_dc;0;NotApplicable;;
99;j10/PSP100;feasible_but_not_dc;0;NotApplicable;;
100;j10/PSP101;feasible_but_not_dc;0;NotApplicable;;
101;j10/PSP102;feasible_but_not_dc;0;NotApplicable;;
102;j10/PSP103;feasible_and_dc;0;TRUE;22;23
103;j10/PSP104;feasible_and_dc;0;TRUE;38;39
104;j10/PSP105;feasible_and_dc;0;TRUE;30;32
105;j10/PSP106;feasible_but_not_dc;0;NotApplicable;;
106;j10/PSP107;feasible_and_dc;0;TRUE;51;52
107;j10/PSP108;infeasible;0;NotApplicable;;
108;j10/PSP109;infeasible;0;NotApplicable;;
109;j10/PSP110;feasible_but_not_dc;0;NotApplicable;;
110;j10/PSP111;feasible_and_dc;0;TRUE;39;40
111;j10/PSP112;infeasible;0;NotApplicable;;
112;j10/PSP113;feasible_but_not_dc;0;NotApplicable;;
113;j10/PSP114;feasible_and_dc;0;TRUE;45;46
114;j10/PSP115;feasible_but_not_dc;0;NotApplicable;;
115;j10/PSP116;feasible_and_dc;0;TRUE;20;27
116;j10/PSP117;feasible_and_dc;0;TRUE;36;37
117;j10/PSP118;infeasible;0;NotApplicable;;
118;j10/PSP119;infeasible;0;NotApplicable;;
119;j10/PSP120;feasible_but_not_dc;0;NotApplicable;;
120;j10/PSP121;feasible_but_not_dc;0;NotApplicable;;
121;j10/PSP122;infeasible;0;NotApplicable;;
122;j10/PSP123;infeasible;0;NotApplicable;;
123;j10/PSP124;infeasible;0;NotApplicable;;
124;j10/PSP125;infeasible;0;NotApplicable;;
